business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,state,AcceptsInsurance,Alcohol,Ambience,BikeParking,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,ByAppointmentOnly,Caters,DogsAllowed,GoodForKids,GoodForMeal,HasTV,Music,NoiseLevel,OutdoorSeating,RestaurantsAttire,RestaurantsDelivery,RestaurantsGoodForGroups,RestaurantsPriceRange2,RestaurantsReservations,RestaurantsTakeOut,Smoking,WheelchairAccessible,WiFi,garage,lot,street,valet,validated
104170,"Trainers, Health & Medical, Active Life, Physical Therapy, Gyms, Fitness & Instruction",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '8:0-18:0', 'Sunday': '9:0-18:0'}",1,43.6450415,-79.3957986,Totum Life Science,M5V 1K4,ON,True,,,,,,False,,,False,,,,,,,,,,,,,False,,,,,,
49708,"Active Life, Trainers, Fitness & Instruction, Gyms, Interval Training Gyms",North Las Vegas,"{'Monday': '15:30-19:30', 'Tuesday': '15:30-19:30', 'Wednesday': '15:30-19:30', 'Thursday': '15:30-19:30', 'Friday': '15:30-19:30', 'Saturday': '9:0-12:0'}",1,36.2760976,-115.2035344,Iron Talon Crossfit,89084,NV,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
173815,"Gyms, Fitness & Instruction, Active Life",Glendale,"{'Monday': '17:30-21:0', 'Tuesday': '17:30-21:0', 'Wednesday': '17:30-21:0', 'Thursday': '17:30-21:0', 'Friday': '17:30-21:0'}",1,33.5200766,-112.1843317,Relentless Power Gym,85301,AZ,,,,,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
183154,"Fitness & Instruction, Gyms, Active Life",Toronto,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-19:0', 'Saturday': '7:0-12:0'}",1,43.6381221,-79.4181561,F45 Training Liberty Village,M6K 3E7,ON,,,,True,,,False,,,False,,,,,,,,,,,,,,,,,,,
138163,"Gyms, Active Life, Fitness & Instruction, Cardio Classes",Verdun,,1,45.4653827,-73.5668864,Energie Cardio,H4G 1V1,QC,,,,,,,,,,False,,,,,,,,,,,,,,,False,False,False,False,False
17594,"Active Life, Cardio Classes, Fitness & Instruction, Gyms, Trainers, Boot Camps",Las Vegas,"{'Monday': '4:30-21:30', 'Tuesday': '4:30-20:30', 'Wednesday': '4:30-21:30', 'Thursday': '4:30-20:30', 'Friday': '4:30-7:30', 'Saturday': '6:30-12:0', 'Sunday': '6:30-12:0'}",1,36.2988394,-115.279247,Orange Theory Fitness Las Vegas - Centennial,89117,NV,,,,True,,True,True,,,False,,,,,,,,,,,,,,,False,False,False,False,False
106407,"Taekwondo, Gyms, Martial Arts, Education, Active Life, Fitness & Instruction, Educational Services",Henderson,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-12:30'}",1,36.0429300806,-115.1162262942,WTM Taekwondo,89074,NV,,,,False,,True,False,,False,,,,,,,,,,,,,,True,,False,True,False,False,False
170000,"Sports Clubs, Local Services, Community Service/Non-Profit, Child Care & Day Care, Active Life, Gyms, Fitness & Instruction",Charlotte,"{'Monday': '5:0-21:30', 'Tuesday': '5:0-21:30', 'Wednesday': '5:0-21:30', 'Thursday': '5:0-21:30', 'Friday': '5:0-21:30', 'Saturday': '7:0-19:0', 'Sunday': '13:0-18:0'}",1,35.3158077,-80.7786797,University City Branch YMCA,28262,NC,,,,True,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
69171,"Active Life, Gyms, Trainers, Fitness & Instruction",Charlotte,"{'Monday': '6:0-21:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-21:0', 'Friday': '6:0-21:0', 'Saturday': '6:0-15:15'}",1,35.101964,-80.991144,Fitness Together,28278,NC,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
22591,"Gyms, Trainers, Active Life, Fitness & Instruction",Henderson,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,36.035840442,-115.098687667,24 Hour Fitness - Wigwam Henderson,89074,NV,,,,True,,True,False,,False,True,,,,,,,,,,,,,,,False,False,False,False,False
112422,"Professional Sports Teams, Fitness & Instruction, Arts & Entertainment, Gyms, Amateur Sports Teams, Trainers, Active Life, Boxing",Toronto,"{'Monday': '9:30-20:30', 'Tuesday': '6:30-20:30', 'Wednesday': '7:0-20:30', 'Thursday': '9:30-20:30', 'Friday': '7:0-20:30', 'Saturday': '7:0-13:30', 'Sunday': '8:30-13:0'}",1,43.6979099,-79.3955361,Centre Ring,M4S 1C1,ON,,,,,,,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
118824,"Nutritionists, Sports Clubs, Fitness & Instruction, Active Life, Gyms, Trainers, Health & Medical, Boot Camps, Yoga",Chandler,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,33.3056006,-111.9260506,Elite Fitness,85226,AZ,,,,True,,True,False,,False,True,,,,,,,,,,,,,True,,False,True,False,False,False
133243,"Trampoline Parks, Active Life, Fitness & Instruction, Amusement Parks, Gyms",Calgary,"{'Monday': '10:0-23:0', 'Tuesday': '10:0-23:0', 'Wednesday': '10:0-23:0', 'Thursday': '10:0-23:0', 'Friday': '10:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-23:0'}",1,51.1347751491,-114.0356326282,Flying Squirrel,T2E 6K2,AB,,,,True,,,False,,,True,,,,,,,,,,,,,True,,False,True,False,False,False
170891,"Trainers, Water Parks, Fitness & Instruction, Circuit Training Gyms, Yoga, Active Life, Sports Clubs, Gyms",Sun Prairie,"{'Monday': '6:0-21:0', 'Tuesday': '4:30-23:30', 'Wednesday': '8:0-18:0', 'Thursday': '7:0-12:0', 'Friday': '4:30-22:30', 'Saturday': '6:0-22:30', 'Sunday': '6:0-22:30'}",1,43.194386,-89.224265,Prairie Athletic Club,53590,WI,,,,True,,True,,,,True,,,,,,,,,,,,,,,False,True,False,False,False
2701,"Gyms, Trainers, Active Life, Fitness & Instruction",Mentor,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,41.655991,-81.361762,Planet Fitness - Mentor,44060,OH,,,,True,,True,False,,,False,,,,,,,,,,,,,,,False,False,False,False,False
160597,"Active Life, Martial Arts, Fitness & Instruction, Gyms, Meditation Centers, Yoga, Tai Chi",Tempe,"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-15:0', 'Sunday': '10:0-15:0'}",1,33.3355941,-111.9072845,BODY & BRAIN Yoga Tai Chi,85284,AZ,,,,True,,True,True,,,True,,,,,,,,,,,,,,,False,False,False,False,False
86652,"Gyms, Fitness & Instruction, Trainers, Physical Therapy, Active Life, Interval Training Gyms, Health & Medical",Las Vegas,"{'Monday': '6:30-19:30', 'Tuesday': '6:30-19:30', 'Wednesday': '6:30-19:30', 'Thursday': '6:30-19:30', 'Friday': '6:30-19:30', 'Saturday': '9:0-11:0', 'Sunday': '9:0-11:0'}",1,36.1230938,-115.2980657,CrossFit Social City,89147,NV,,,,,,,,,,True,,,,,,,,,,,,'no',,'free',False,True,False,False,False
123027,"Beauty & Spas, Active Life, Day Spas, Fitness & Instruction, Sports Clubs, Gyms",Toronto,"{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-21:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}",1,43.6481326,-79.3795089,Equinox Bay Street,M5L 1E2,ON,,,,True,,True,False,,,False,,,,,,,,,3,,,,,,True,False,False,False,False
100610,"Trainers, Active Life, Fitness & Instruction, Gyms",Surprise,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",1,33.6371691475,-112.3956272,Planet Fitness - Surprise,85374,AZ,,,,,,True,False,,,True,,,,,,,,,,,,,,,False,False,False,False,False
117728,"Party & Event Planning, Gymnastics, Active Life, Event Planning & Services, Kids Activities",Charlotte,"{'Monday': '13:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-14:0', 'Saturday': '8:30-14:0', 'Sunday': '10:0-12:30'}",1,35.0405586,-80.8612804,The Little Gym - Ballantyne,28277,NC,,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,
171580,"Fitness & Instruction, Active Life, Gyms, Boxing, Boot Camps",Phoenix,,0,33.5102068,-112.0272041,Amenzone Fitness,85016,AZ,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
159183,"Muay Thai, Fitness & Instruction, Active Life, Kickboxing, Gyms, Martial Arts",Toronto,"{'Monday': '17:0-22:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '10:0-14:0', 'Sunday': '10:0-14:0'}",1,43.6471174,-79.4048994,Toronto Kickboxing & Muay Thai Academy - Downtown,M6J 1E3,ON,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
