"business_id","topic_1_Facilities","topic_2_Courses","topic_3_Service_and_Accessories","topic_4_Membership_and_Price","topic_5_Trainer","topic_6_Time","topic_7_Environment","topic_8_Other","weighted_stars","summary_0","summary_1","summary_2","summary_3","summary_4","summary_5","summary_6","summary_7","summary_8","summary_9","summary_10","summary_11","summary_12","summary_13","summary_14","summary_15","summary_16","summary_17","summary_18","summary_19","summary_20","summary_21","summary_22","summary_23","summary_24","summary_25","summary_26","summary_27","summary_28","summary_29","summary_30","summary_31","review_number_id"
1,0,0.1,0,0,0.00909090909090909,-0.08,0,0,3.76551724137931,7,0,0,7,32,5,8,19,6,0,0,6,12,0,0,12,11,1,1,9,5,0,1,4,1,0,0,1,54,0,0,54,11
188430,0.1,-0.05,0.1,0,0,-0.0333333333333333,0,0,4.70967741935484,9,1,1,7,2,0,1,1,4,1,2,1,2,0,0,2,0,0,0,0,3,0,1,2,0,0,0,0,13,0,0,13,3
131086,-0.05,0.0888888888888889,0,0,0.38,0.222222222222222,0,0,4.13636363636364,2,0,1,1,9,2,3,4,2,0,0,2,6,0,0,6,5,2,1,2,9,2,0,7,0,0,0,0,35,0,0,35,8
40978,0,1,0.0333333333333333,-0.075,-0.0333333333333333,0,0,0,3.60869565217391,2,0,0,2,1,1,0,0,3,1,0,2,4,0,2,2,3,0,1,2,2,0,0,2,0,0,0,0,13,0,0,13,5
147475,-0.2,-0.0333333333333333,0,0,0,0,0,0,4.73529411764706,1,0,1,0,9,1,1,7,1,0,0,1,3,0,0,3,3,0,0,3,2,0,0,2,0,0,0,0,26,0,0,26,6
16405,0.0102564102564103,0.110526315789474,0.03125,-0.0444444444444445,-0.0166666666666667,0.0941176470588235,0,0,2.54198473282443,39,5,6,28,19,3,0,16,32,3,7,22,54,4,13,37,6,0,1,5,17,2,4,11,1,0,0,1,134,0,0,134,35
73759,-0.0454545454545455,0,-0.0428571428571429,-0.03,-0.266666666666667,-0.0222222222222222,0,0,2.23684210526316,11,0,3,8,4,0,0,4,7,0,2,5,10,0,3,7,3,0,1,2,9,0,2,7,1,0,0,1,55,0,0,55,14
40995,0,0,0,-0.02,0,0,0,0,5,2,1,1,0,1,0,0,1,1,0,0,1,5,0,1,4,0,0,0,0,2,0,0,2,0,0,0,0,9,0,0,9,3
180262,-0.1,0,0,0,-0.1,0,0,0,1.95454545454545,5,0,2,3,4,1,1,2,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,8,0,0,8,3
106545,-0.02,0,0.333333333333333,0,0,0,0,0,4,5,0,1,4,0,0,0,0,3,1,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,12,0,0,12,3
131125,0.116666666666667,-0.0235294117647059,0,0,0.133333333333333,0.1625,0.666666666666667,0,3.15789473684211,6,1,3,2,17,1,3,13,3,0,0,3,3,0,0,3,6,1,1,4,8,2,0,6,3,1,0,2,29,0,0,29,10
163902,-0.0125,0.00754716981132075,-0.0128571428571429,-0.0151162790697674,-0.0285714285714286,-0.0232558139534884,-0.0625,0,2.73968705547653,112,8,29,75,53,4,13,36,70,4,25,41,86,6,16,64,7,0,1,6,43,1,16,26,8,1,3,4,278,0,0,278,50
24647,0.5,0,0.333333333333333,0,0,0,0,0,4.45454545454545,6,3,0,3,4,0,0,4,3,1,0,2,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,5
